,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparently,ive,she'll,,,,,,thing*,,being,done,drank,come,should've,just,insides,,neither,few*,twice,heck,blam*,marrie*,partner*,kid,alone,benefic*,aversi*,hesita*,critici*,gloom*,alot,clarif*,deduc*,needing,depending,entire*,contradic*,,,colour*,looking,said,harde*,arthr*,bowel*,cardio*,gay,dine,appeared,catch,center*,begun,busy,conclud*,casino*,dresser*,cash*,crusade*,genocid*,,,
are,I've,shes,,,,,,this,,believe,dont,driven,comes,thatll,lately,into,,never,form,two,hell,boy,ma's,roomate*,kid'*,alright*,benefit,avoid*,horr*,crude*,grave*,altogether,closure,depend,neednt,depends,essential,control*,,,column*,looks,sang,heavie*,asleep,brain*,checkup*,gays,dined,appearing,caught,centre*,biannu*,cafeteria*,conclus*,casual,driveway*,casino*,demon*,ghost*,,,
arent,lets,she's,,,,,,those,,believed,don't,drove,depends,that'll,maybe,near,,no,full*,zero,homo,boyf*,mom,roomie*,kids*,amaz*,benefits,awful,humiliat*,cruel*,grief,always,cohere*,depended,need'nt,disorient*,ever,curb*,,,concert*,orange*,say*,heavy*,aspirin*,breast*,chills,genital*,diner,appears,change,city,bimonth*,calculus,confidence,cd*,duplex*,cent,devil*,grave*,,,
aren't,let's,thee,,,,,,what,,believes,had,eaten,describe,theyll,mostly,of,,nobod*,greater,zillion*,jeez,boy's,momma*,roommate*,ladies,amor*,benefitt*,awkward*,impatien*,cunt*,griev*,ambigu*,complex*,depending,needn't,doubt*,every,curtail*,,,cool*,picture,scream*,hot,ass,breath*,chiropract*,gonorrhea,diners,approach*,changed,close,birth*,campus*,confident,celebrat*,families*,cents,divin*,grief,,,
around,me,their*,,,,,,whatever,,bought,hadnt,emailed,describes,they'll,nearly,off,,none,greatest,,mofo,boys*,mommy*,soulmate*,lady,amus*,benevolen*,bad,inadequa*,cut,grim*,anal,complica*,depends,needs,dubious*,everybod*,defenc*,,,cream,pink*,shout*,hott*,asses,butt,chlamydia,hiv,dines,april,changes,closed,biweek*,career*,confidently,celebrit*,family,charit*,doom*,griev*,,,
as,mine,them,,,,,,whats,,bring,hadn't,ended,dies,we'll,now,on,,nope,highly,,motherf*,bro,moms,sweetheart*,lady's,anger*,benign*,bashful*,indecis*,cynic*,heartbreak*,analy*,compreh*,effect*,normal,dunno,everything*,defens*,,,deaf*,purpl*,silen*,leather*,asthma*,butts,chok*,ho,dining,area*,changing,closer,born,ceo*,conquer*,channel*,fireplace*,cheap*,episcopal*,hearse*,,,
at,my,themselves,,,,,,what's,,brings,has,entered,dislike,wholl,often,onto,,nor,increas*,,nigger*,bros,mom's,sweetie*,ma'am,angr*,best,bastard*,inhib*,damn*,heartbroke*,and,concentrat*,elicit*,ought,fairly,evident*,delay*,,,delectabl*,rectang*,song*,limp*,ate,cheek*,cholester*,homo,dinner*,around,climb*,closest,busy,certif*,conscientious*,chat*,fridge*,check,evangel*,holocaust*,,,
atho,myself,they,,,,,,which,,brought,hasnt,explained,dislikes,who'll,only,out,,not,item*,,piss*,brother*,mother,,male,anguish*,better,battl*,insecur*,danger*,helpless*,answer*,conclud*,experiment,oughta,fuzz*,exact*,denia*,,,delicious*,red,sound*,loose*,bake*,chest*,chronic*,homos,dish,arrival*,closely,connection*,bye,chairm*,control*,checkers,furniture,checking,faith*,homocid*,,,
atop,nobod*,theyd,,,,,,whichever,,called,hasn't,fed,do,will,perhaps,outside,,nothing,lack*,,prick*,bud,mothers,,males,annoy*,bless*,beaten,irrational*,defenc*,homesick*,any,conclus*,force*,oughtnt,generally,explicit*,denie*,,,deoder*,redde*,speak,press,baking,clothes,clinic*,homosexual*,dishes,arrive,closes,corner,cease*,chalk,create*,chess,futon*,checks,fundamentalis*,immortal*,,,
away,oneself,they'd,,,,,,who,,came,have,felt,does,wont,primarily,over,,nowhere,least,,pussy*,buddies*,mum,,male's,antagoni*,bold*,bitch*,irrita*,defens*,hopeless*,anybod*,confess*,foundation*,ought'nt,guess,extremely,deny*,,,drie*,reddish*,speaker*,pressed,bald,cock,codeine,hornie*,drank,arrived,closing,corners,ceasing,challeng*,creati*,chillin*,garage*,chequ*,gentile*,kill*,,,
back,other,theyll,,,,,,whod,,can,havent,fled,doesnt,won't,probably,plus,,oughtnt,less,,queer*,buddy*,mummy*,,mam,anxi*,bonus*,bitter*,miser*,despis*,hurt*,anyhow,conscious*,founded,oughtn't,guessed,fact,disciplin*,,,drily,redness,speaking,presser*,bandage*,cocks*,colono*,horny,drink*,arrives,come,countr*,centur*,champ*,crown*,choir*,garden*,coin,god'*,lethal*,,,
basically,others,they'll,,,,,,who'd,,cannot,haven't,flew,doesn't,would,push*,since,,ought'nt,loads,,screw*,bye,mums,,man,aok,brave*,blam*,nervous*,destroy*,inadequa*,anyone*,consider,founder*,oughtve,guesses,facts,discourag*,,,drool*,reds,speaks,presses,bandaid,colon,coma*,hug,drunk*,arriving,comes,coverage,childhood,class,defeat*,chorus,gate*,coins,gospel*,lynch*,,,
be,our,theyve,,,,,,wholl,,cant,having,followed,dont,wouldnt,quick*,than,,oughtn't,lot,,shit*,call,mum's,,man's,apath*,bright*,bore*,neurotic*,destruct*,inferior* ,anything,considered,generate*,ought've,guessing,factual*,disregard*,,,dry*,round*,speech*,rough*,bar,colons,congest*,hugg*,eat,at,coming,deep*,christmas*,classes,determina*,cinema*,home,compensat*,heaven*,manslaughter*,,,
became,ours,they've,,,,,,who'll,,can't,hed,forgot*,don't,wouldn't,rarely,through*,,shant,lotof,,sob,called,nephew*,,members,appall*,brillian*,boring,obsess*,disgust*,isolat*,anytime,considering,generating,outstanding,halfass*,forever,duti*,,,ear,saw,spoke*,round*,bars,cornea*,constipat*,hugs,eaten,atop,cross*,dense,clock*,classmate*,determined,club*,homes,consumer*,hell,massacre*,,,
because,ourselves,thine,,,,,,whom,,care,he'd,fought,explain,wouldve,rather,thru,,shan't,lots,,sonofa*,caller*,niece*,,men,appreciat*,calm*,bother*,overwhelm*,distrust*,lame*,anywhere,considers,generator*,prefer*,hardly,frankly,duty,,,ears,scan,thunder*,rub,beer*,crap,contag*,hump*,eating,attend,cruis*,densit*,common,classroom*,diligen*,coach*,homesick*,corporat*,hellish,mausoleum*,,,
become,she,thou,,,,,,whose,,cared,heres,found,explains,would've,really,til ,,shouldnt,lotsa,,suck,calling,pa,,men'*,apprehens*,care,broke,panic*,domina*,lone*,apparent,contemplat*,hence,problem*,hazie*,fundamental,enclos*,,,edge,scann*,voic*,rubbed,bellies,crotch,coronar*,incest*,eats,attended,danc*,depth*,constant ,collab*,domina*,cocktail*,homework*,cost*,hells,morgue*,,,
becomes,she'd,thoust,,,,,,,,cares,here's,fucked*,feel,youll,seriously,till,,should'nt,lotta,,sucked,calls,pappy,,mr ,argh*,cared,brutal*,petrif*,dumb*,longing*,apparently,correlat*,how,rather,hazy,fundamentalis*,fenc*,,,edges,scans,whisper*,rubbing,belly,dick,cough*,jissom,egg*,attending,deliver*,diagonal*,constantly,colleague*,domote*,coffee*,house*,coupon*,hindu*,mortal*,,,
becoming,she'll,thy,,,,,,,,carried,hes,gave,feels,you'll,simply,to,,shouldn't,main,,sucks,captain,parent*,,mrs,argu*,carefree,burden*,phobi*,dump*,lose,appear,curio*,hows,regardless,hesita*,fundamentally,forbid*,,,edging,screen,yell,rubs,bi,dicks,cramp*,jizz,espresso*,attends,depart,distan*,continu*,colleg*,driven,comed*,housing,credit*,holie*,mortician*,,,
