,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he'd,,,,,,,,,,here's,,,understands,,,,,,,,,girlfriend*,,,,cunt*,gentler,flunk*,,screw*,,confus*,reflect*,,,usually,,,,,reek*,,,,dosage,spinal,pained,,,deliver*,stepp*,room,o'clock*,labor*,skill,radio*,,spender,sunni,,,,
her,,,,,,,,,,hes,,,use,,,,,,,,,girl's,,,,cut,gentlest,foe*,,shit*,,conscious*,relate*,,,vague*,,,,,ring,,,,dose*,spine,painf*,,,dense,steps,roomate*,october,labour*,skilled,rap,,spending,sunnis,,,,
here,,,,,,,,,,he's,,,uses,,,,,,,,,girls*,,,,cute*,gently,fool*,,sinister,,consequen*,relating,,,variab*,,,,,ringing,,,,dosing,spit,paining,,,densit*,stopper*,roomed,old,laidoff,skills,read ,,spends,temple*,,,,
heres,,,,,,,,,,hit,,,using,,,,,,,,,give,,,,cutie*,giggl*,forbid*,,skeptic*,,conserv*,relation,,,varies,,,,,rings,,,,dr,spits,painl*,,,depart,swam,roomie*,olden,laptop*,solution*,reading,,spent,testament*,,,,
here's,,,,,,,,,,hope,,,wait,,,,,,,,,giver*,,,,cynic,giver*,fought,,smother*,,consider,rememb*,,,vary,,,,,rotten,,,,drank,spitting,pains,,,departed,swim*,rooming,older,lawyer* ,solve,recording*,,stipend*,theolog*,,,,
hers,,,,,,,,,,hoped,,,waits,,,,,,,,,gives,,,,damag*,giving,frantic*,,snob*,,considered,reorgani*,,,wonder,,,,,rough*,,,,drink*,stomach*,pap,,,departing,threw,roommate*,oldest,layoff*,solved,recreation*,,stocks,torah,,,,
herself,,,,,,,,,,hopes,,,want,,,,,,,,,giving,,,,damn*,glad,freak*,,spite*,,considering,resolu*,,,wondered,,,,,round*,,,,drool*,sweat*,paraly*,,,departs,throw*,rooms,once,lead*,solves,reggae,,store,vatican*,,,,
hes,,,,,,,,,,hows,,,wants,,,,,,,,,gossip*,,,,danger*,gladly,fright*,,stubborn*,,considers,resolv*,,,wondering,,,,,rub,,,,drows*,teeth*,patholog*,,,departure*,took,section,origin,learn*,solving,relax*,,tax,veil*,,,,
he's,,,,,,,,,,how's,,,we're,,,,,,,,,grandchil*,,,,daring,glamor*,frustrat*,,stupid*,,constrain*,restructur*,,,wonders,,,,,rubbed,,,,drs,tendon ,pediatr*,,,depth*,transact*,segment,past,lectur*,strateg*,restau*,,taxa*,worship*,,,,
highly,,,,,,,,,,Id,,,whats,,,,,,,,,granddad*,,,,darlin*,glamour*,fuck,,suck,,constrict*,rethink*,,,,,,,,rubbing,,,,drug*,tendons,pharmac*,,,diagonal*,transport*,separat*,period*,legal*,strength*,resting,,taxed,yiddish,,,,
him,,,,,,,,,,I'd,,,what's,,,,,,,,,granddau*,,,,daze*,glori*,fucked*,,sucked,,contain*,reveal*,,,,,,,,rubs,,,,drunk*,thigh*,phobi*,,,disappear*,travel*,shape*,perpetual*,librar*,striv*,rock,,taxes,zen,,,,
himself,,,,,,,,,,I'll,,,wheres,,,,,,,,,grandf*,,,,dear*,glory,fucker*,,sucker*,,contemplat*,revelat*,,,,,,,,saccharine,,,,dx,thirst*,physical*,,,distan*,trip,shaping*,preced*,lsat,strong*,rocks,,taxing,zion*,,,,
his,,,,,,,,,,Im,,,where's,,,,,,,,,grandkid*,,,,decay*,good,fuckin*,,sucks,,contingen*,secret,,,,,,,,said,,,,dyke*,throat*,physician*,,,down,tripped,short*,present,ltd,succeed*,roller*,,thrift*,,,,,
hopefully,,,,,,,,,,i'm,,,whos,,,,,,,,,grandm*,,,,defeat*,goodness,fucks,,sucky,,contradic*,secrets,,,,,,,,saliv*,,,,ear,tit,pill,,,downward*,tripping,shut,presently,mailroom*,success*,rowing,,trade*,,,,,
how,,,,,,,,,,is,,,who's,,,,,,,,,grandpa*,,,,defect*,gorgeous*,fume*,,tantrum*,,control*,seem,,,,,,,,salt*,,,,ears,tits,pills,,,drift*,trips,side,prior,majoring,super,rugby*,,trading,,,,,
however,,,,,,,,,,isnt,,,wish,,,,,,,,,grandson*,,,,defenc*,grace,fuming,,teas*,,correct*,seemed,,,,,,,,sampl*,,,,eat,titties,pimple*,,,drive,visit*,sides,proceed*,majors,superb*,rum,,tuition,,,,,
hundred*,,,,,,,,,,isn't,,,wishes,,,,,,,,,granny,,,,defens*,graced,furious*,,temper,,correlat*,seeming*,,,,,,,,sand,,,,eaten,titty,pms,,,driven,walk,siding,quick*,manag*,surviv*,runner*,,underpaid,,,,,
i,,,,,,,,,,itd,,,wonder,,,,,,,,,group*,,,,definite,graceful*,fury,,tempers,,cos,seems,,,,,,,,sands,,,,eating,toe,podiatr*,,,drives,walked,site,recency,manufact*,team*,running,,value,,,,,
Id,,,,,,,,,,it'd,,,youre,,,,,,,,,grownup*,,,,definitely,graces,geek*,,terrify,,could,sense,,,,,,,,sandy,,,,eats,toenail*,poison*,,,driving,walking,sky*,recent*,market*,top,salsa,,visa*,,,,,
I'd,,,,,,,,,,itll,,,you're,,,,,,,,,grudge*,,,,degrad*,graci*,gloom*,,threat*,,couldnt,sensed,,,,,,,,sang,,,,egg*,toes,pregnan*,,,drop ,walks,small*,recur*,masters,tried,sang,,wage,,,,,
if,,,,,,,,,,it'll,,,youve,,,,,,,,,guest*,,,,delectabl*,grand,goddam*,,ticked,,couldn't,senses,,,,,,,,savor*,,,,elbow*,tongue*,prescri*,,,drove,went,somewhere,repeat*,math*,tries,scrabble,,wager*,,,,,
I'll,,,,,,,,,,it's,,,you've,,,,,,,,,guy*,,,,delicate*,grande*,gossip*,,tortur*,,couldve,sensing,,,,,,,,savour*,,,,emphysem*,tonsils,prognos*,,,due,,south*,repetit*,mcat,triumph*,scrapbook*,,wages,,,,,
Im,,,,,,,,,,ive,,,,,,,,,,,,he,,,,delicious*,gratef*,grave*,,trick*,,could've,solution*,,,,,,,,saw,,,,enema*,tooth*,prozac,,,during,,space,respectively,mda,try,sculpt*,,wealth*,,,,,
I'm,,,,,,,,,,I've,,,,,,,,,,,,hear,,,,deligh*,grati*,greed*,,ugl*,,coz,solve,,,,,,,,say*,,,,erectile,tricep*,puk*,,,earli*,,spaced,return*,meeting*,trying,shop,,worth,,,,,
immediately,,,,,,,,,,keep,,,,,,,,,,,,heard,,,,depress*,great,grief,,vicious*,,create*,solved ,,,,,,,,scan,,,,erection*,urin*,puss,,,early,,spaces,rhythm*,memo,unable,shopaholic*,,yen,,,,,
in,,,,,,,,,,keeps,,,,,,,,,,,,hearing,,,,depriv*,grin,griev*,,victim*,,creati*,solves,,,,,,,,scann*,,,,erotic*,uter*,queas*,,,east*,,spaci*,saturday*,memos,unbeat*,shopp*,,yuan,,,,,
infinit*,,,,,,,,,,kept,,,,,,,,,,,,hears,,,,despair*,grinn*,grim*,,vile,,curb*,solving,,,,,,,,scans,,,,espresso*,vagina*,rehab*,,,edge,,span,schedul*,menial,unproduc*,shops,,,,,,,
inside,,,,,,,,,,knew,,,,,,,,,,,,hed,,,,desperat*,grins,gross*,,villain*,,curio*,statement*,,,,,,,,scent*,,,,estrogen*,vein*,ritalin,,,edges,,spann*,season*,mentor*,unsuccessful*,show,,,,,,,
insides,,,,,,,,,,know,,,,,,,,,,,,he'd,,,,despis*,ha,grouch*,,violat*,,curtail*,suspect*,,,,,,,,scratch*,,,,exercis*,waist*,rx,,,edging,,stair*,seconds,merger*,victor*,shows,,,,,,,
instead,,,,,,,,,,knows,,,,,,,,,,,,he'll,,,,destroy*,haha*,grr*,,violent*,,cuz,suspicio*,,,,,,,,scream*,,,,exhaust*,wake,scab*,,,empt*,,straight,senior*,mfg,win,sing,,,,,,,
into,,,,,,,,,,let ,,,,,,,,,,,,hello*,,,,destruct*,handsom*,guilt*,,war,,decid*,think,,,,,,,,screen,,,,eye*,wear,schizophren*,,,enclos*,,street*,september*,mfr,winn*,singing,,,,,,,
is,,,,,,,,,,lets,,,,,,,,,,,,help,,,,determina*,happi*,harass*,,warfare*,,decis*,thinker*,,,,,,,,scrumptious*,,,,face,womb*,scrape*,,,encompass*,,stretch*,sequen*,mgmt,wins,sings,,,,,,,
isnt,,,,,,,,,,let's,,,,,,,,,,,,helper*,,,,determined,happy,harm,,warred,,deduc*,thinking*,,,,,,,,see,,,,faces,wrist*,seizure*,,,end,,surfac*,simultaneous*,mgr,won,skat*,,,,,,,
isn't,,,,,,,,,,lied,,,,,,,,,,,,helpful*,,,,devastat*,harmless*,harmed,,warring,,defenc*,thinks,,,,,,,,seeing,,,,facial*,,sick,,,ended,,surround*,slow*,midterm*,work ,ski,,,,,,,
it,,,,,,,,,,liked,,,,,,,,,,,,helping,,,,devil*,harmon*,harmful*,,wars,,defens*,thought,,,,,,,,seen,,,,faint*,,sickday*,,,ending,,tall,sometime ,motiv*,workabl*,skied,,,,,,,
itd,,,,,,,,,,listen,,,,,,,,,,,,helps,,,,devot*,heartfelt,harming,,weapon*,,define,thoughts,,,,,,,,seer,,,,farsighted,,sicker,,,ends,,taller,sometimes,negotiat*,worked,skier*,,,,,,,
it'd,,,,,,,,,,listened,,,,,,,,,,,,her,,,,difficult*,heartwarm*,harms,,wicked*,,defined,unaccept*,,,,,,,,sees,,,,fat,,sickest,,,enorm*,,tallest,soon,ngo,worker*,skiing,,,,,,,
item*,,,,,,,,,,listens,,,,,,,,,,,,hers,,,,digni*,heaven*,hate,,,,defines,unaware*,,,,,,,,sharp*,,,,fatigu*,,sickleave*,,,enter,,territor*,soone*,nonprofit*,working*,skis,,,,,,,
itll,,,,,,,,,,lived,,,,,,,,,,,,herself,,,,disadvantage*,heh*,hated,,,,defining,understand,,,,,,,,shine,,,,fats,,sickly,,,entered,,thick*,sped,occupa*,works,soaps,,,,,,,
it'll,,,,,,,,,,look,,,,,,,,,,,,hes,,,,disagree*,helper*,hateful*,,,,definite,understandab*,,,,,,,,shini*,,,,fatt*,,sickness*,,,entering,,thin,speed*,office*,,soccer*,,,,,,,
its,,,,,,,,,,looked,,,,,,,,,,,,he's,,,,disappoint*,helpful*,hater*,,,,definitely,understanding*,,,,,,,,shiny,,,,fed,,sinus*,,,enters,,thinly,spring,org,,solitaire,,,,,,,
it's,,,,,,,,,,looks,,,,,,,,,,,,hey,,,,disaster*,helping,hates,,,,definitive*,understands,,,,,,,,shout*,,,,feed,,sore*,,,entrance*,,thinn*,start,organiz*,,song*,,,,,,,
itself,,,,,,,,,,lost,,,,,,,,,,,,hi,,,,discomfort*,helps,hating,,,,delay*,understood,,,,,,,,sight*,,,,feeder*,,std*,,,environment*,,tinier,started,outlin*,,spa,,,,,,,
ive,,,,,,,,,,love,,,,,,,,,,,,him,,,,discourag*,hero*,hatred,,,,denia*,unrelat*,,,,,,,,silen*,,,,feeding*,,stiff*,,,era,,tiniest,starter*,outsourc*,,spas,,,,,,,
I've,,,,,,,,,,loved,,,,,,,,,,,,himself,,,,disgust*,hilarious,heartbreak*,,,,denie*,wonder,,,,,,,,silk*,,,,feeds,,strept*,,,etern*,,tiny,starting,overpaid,,sport*,,,,,,,
just,,,,,,,,,,loves,,,,,,,,,,,,his,,,,dishearten*,hoho*,heartbroke*,,,,deny*,wondered,,,,,,,,skin,,,,feet,,stroke*,,,eve,,together,starts,overtime,,standup,,,,,,,
lack*,,,,,,,,,,made,,,,,,,,,,,,honey,,,,disillusion*,honest*,heartless*,,,,depend,wondering,,,,,,,,skin'*,,,,fever*,,sunburn*,,,evening*,,top,startup*,overworked,,stereo,,,,,,,
lately,,,,,,,,,,make,,,,,,,,,,,,hubby,,,,dislike,honor*,hell,,,,depended,wonders,,,,,,,,smell*,,,,finger*,,surgeon*,,,event,,toward*,still,paper*,,stereos,,,,,,,
least,,,,,,,,,,makes,,,,,,,,,,,,human*,,,,disliked,honour*,hellish,,,,depending,,,,,,,,,smooth*,,,,flesh*,,surger*,,,eventually,,town,stop,pay*,,stoned,,,,,,,
less,,,,,,,,,,may,,,,,,,,,,,,husband*,,,,dislikes,hope,helpless*,,,,depends,,,,,,,,,sniff*,,,,flu,,swelling,,,ever,,under,stopped,pc*,,sunbath*,,,,,,,
let,,,,,,,,,,mean,,,,,,,,,,,,individual*,,,,disliking,hoped,hesita*,,,,desir*,,,,,,,,,snort*,,,,food*,,swollen,,,everyday,,underneath,stopper*,pen,,swim*,,,,,,,
lets,,,,,,,,,,means,,,,,,,,,,,,infant,,,,dismay*,hopeful,homesick*,,,,determina*,,,,,,,,,soft*,,,,foot,,symptom*,,,everywhere,,undersid*,stopping,pencil*,,symphon*,,,,,,,
let's,,,,,,,,,,meant,,,,,,,,,,,,infant's,,,,dissatisf*,hopefully,hopeless*,,,,determine,,,,,,,,,song*,,,,forearm*,,syndrome*,,,exit*,,universe*,stops,pens ,,tanning,,,,,,,
loads,,,,,,,,,,met,,,,,,,,,,,,infants*,,,,distract*,hopefulness,horr*,,,,determined,,,,,,,,,sound*,,,,forehead*,,syphili*,,,explor*,,up,subsequen*,pension*,,team*,,,,,,,
lot,,,,,,,,,,might,,,,,,,,,,,,inform,,,,distraught,hopes,hostil*,,,,determines,,,,,,,,,sour,,,,foreplay,,tender*,,,exterior*,,upon,sudden*,phd*,,techno,,,,,,,
lotof,,,,,,,,,,mightve,,,,,,,,,,,,informs,,,,distress*,hoping,humiliat*,,,,determining,,,,,,,,,soure*,,,,fries,,tendoni*,,,fade*,,upper,summer*,photocop*,,television*,,,,,,,
lots,,,,,,,,,,might've,,,,,,,,,,,,insult*,,,,distrust*,hug ,hurt*,,,,difference*,,,,,,,,,souri*,,,,fruit*,,testosterone*,,,fading*,,uppermost,sunday*,pledg*,,tennis*,,,,,,,
lotsa,,,,,,,,,,miss,,,,,,,,,,,,interact*,,,,disturb*,hugg*,idiot,,,,differentiat*,,,,,,,,,sours,,,,fry*,,therap*,,,fall,,upstairs,synch*,police,,tequila,,,,,,,
lotta,,,,,,,,,,missed,,,,,,,,,,,,interrup*,,,,divin*,hugs,ignor*,,,,directly,,,,,,,,,soury,,,,fuck,,thermometer*,,,fallen,,vast*,tempora*,policy,,theat*,,,,,,,
main,,,,,,,,,,misses,,,,,,,,,,,,interview*,,,,domina*,humor*,immoral*,,,,discern*,,,,,,,,,speak,,,,fucked*,,throb*,,,falling,,verg*,term ,political,,ticket*,,,,,,,
many,,,,,,,,,,moved,,,,,,,,,,,,involv*,,,,doom*,humour*,impatien*,,,,disciplin*,,,,,,,,,speaker*,,,,fucker*,,thyroid*,,,falls,,vertical*,terminat*,politics,,tivo*,,,,,,,
may,,,,,,,,,,must,,,,,,,,,,,,kid,,,,dork*,hurra*,impersonal,,,,disclo*,,,,,,,,,speaking,,,,fuckin*,,tingl*,,,far,,wall,then,practice,,toy*,,,,,,,
maybe,,,,,,,,,,mustnt,,,,,,,,,,,,kid'*,,,,doubt*,ideal*,impolite*,,,,discourag*,,,,,,,,,speaks,,,,fucks,,tire*,,,farther,,walling,thursday*,prereq*,,travel*,,,,,,,
me,,,,,,,,,,must'nt,,,,,,,,,,,,kidding,,,,dread*,importan*,inadequa*,,,,discover*,,,,,,,,,speech*,,,,gay,,tiring,,,farthest,,walls,til,presentation*,,triathl*,,,,,,,
might,,,,,,,,,,mustn't,,,,,,,,,,,,kids*,,,,dull*,impress*,indecis*,,,,disorient*,,,,,,,,,spice,,,,gays,,tox*,,,fast,,west*,till,presiden*,,tv*,,,,,,,
mightve,,,,,,,,,,mustve,,,,,,,,,,,,kin,,,,dumb*,improve*,ineffect*,,,,disregard*,,,,,,,,,spiced,,,,genital*,,tumo*,,,faster,,where,time*,procrastin*,,unwind*,,,,,,,
might've,,,,,,,,,,must've,,,,,,,,,,,,ladies,,,,dump*,improving,inferior* ,,,,distinct*,,,,,,,,,spices,,,,gland*,,twitch*,,,fastest,,wheres,timing,produc*,,vacation*,,,,,,,
million*,,,,,,,,,,need,,,,,,,,,,,,lady,,,,dwell*,incentive*,inhib*,,,,distinguish*,,,,,,,,,spicy,,,,glaucoma,,tylenol,,,february,,where's,today*,prof,,vcr*,,,,,,,
mine,,,,,,,,,,needed,,,,,,,,,,,,lady's,,,,dynam*,innocen*,insecur*,,,,doubt*,,,,,,,,,spoke*,,,,glutton*,,ulcer*,,,fell,,wherever,tomorrow*,profession*,,video*,,,,,,,
more,,,,,,,,,,needs,,,,,,,,,,,,language*,,,,eager*,inspir*,insincer*,,,,dubious*,,,,,,,,,squar*,,,,gobble*,,unhealth*,,,fill*,,wide*,tonight*,professor*,,vodka*,,,,,,,
most,,,,,,,,,,ought,,,,,,,,,,,,lets,,,,ease*,intell*,insult*,,,,dunno,,,,,,,,,squeez*,,,,gobbling,,vertigo,,,final ,,width*,tuesday*,profit*,,volleyb*,,,,,,,
mostly,,,,,,,,,,oughta,,,,,,,,,,,,let's,,,,easie*,interest*,interrup*,,,,duti*,,,,,,,,,stank,,,,gonorrhea,,viagra,,,finally,,within,until,profs,,weekend*,,,,,,,
much,,,,,,,,,,oughtnt,,,,,,,,,,,,letter,,,,easily,invigor*,intimidat*,,,,duty,,,,,,,,,stare*,,,,goosebump*,,vicodin,,,finish*,,world,updat*,program*,,weightlift*,,,,,,,
mucho,,,,,,,,,,ought'nt,,,,,,,,,,,,listen,,,,easiness,joke*,irrational*,,,,each,,,,,,,,,staring,,,,grocer*,,vitamin*,,,first,,,usual,project ,,weights,,,,,,,
must,,,,,,,,,,oughtn't,,,,,,,,,,,,listened,,,,easing,joking,irrita*,,,,effect*,,,,,,,,,stench*,,,,gulp*,,vomit*,,,firstly,,,usually,projector*,,whiskey*,,,,,,,
mustnt,,,,,,,,,,oughtve,,,,,,,,,,,,listener*,,,,easy*,joll*,isolat*,,,,either,,,,,,,,,stink*,,,,gums,,wart,,,firsts,,,wednesday*,projects,,whisky*,,,,,,,
must'nt,,,,,,,,,,ought've,,,,,,,,,,,,listening,,,,ecsta*,joy*,jaded,,,,elicit*,,,,,,,,,stroke*,,,,gut,,warts,,,fit,,,week,prom,,wine,,,,,,,
mustn't,,,,,,,,,,owe,,,,,,,,,,,,listens,,,,efficien*,keen*,jealous*,,,,enclos*,,,,,,,,,stroki*,,,,guts,,wash,,,fled,,,week'*,promot*,,wines,,,,,,,
mustve,,,,,,,,,,owed,,,,,,,,,,,,love ,,,,egotis*,kidding,jerk,,,,enlighten*,,,,,,,,,stunk,,,,gynecolog*,,weak*,,,flee*,,,weekend*,psych,,workout*,,,,,,,
must've,,,,,,,,,,owes,,,,,,,,,,,,loved,,,,elegan*,kind,jerked,,,,entire*,,,,,,,,,sugar*,,,,gyno*,,weary,,,flew,,,weekl*,psychol*,,xbox*,,,,,,,
my,,,,,,,,,,paid,,,,,,,,,,,,lover*,,,,embarrass*,kindly,jerks,,,,essential,,,,,,,,,sumptuous*,,,,hair*,,wheez*,,,flies,,,weeks,publish,,yard,,,,,,,
myself,,,,,,,,,,played,,,,,,,,,,,,loves,,,,emotion,kindn*,kill*,,,,evaluat*,,,,,,,,,sunli*,,,,hallucinat*,,withdrawal,,,floor*,,,when,qualifi*,,yoga,,,,,,,
near,,,,,,,,,,ran,,,,,,,,,,,,loving*,,,,emotion,kiss*,lame*,,,,ever,,,,,,,,,sunshin*,,,,hamstring*,,wound*,,,flow*,,,whenever,quiz*,,,,,,,,,
nearly,,,,,,,,,,said,,,,,,,,,,,,ma,,,,emotional,laidback,lazie*,,,,every,,,,,,,,,sweet,,,,hand,,xanax,,,fly,,,while,read ,,,,,,,,,
neednt,,,,,,,,,,sat,,,,,,,,,,,,ma'am,,,,empt*,laugh*,lazy,,,,everybod*,,,,,,,,,sweetness,,,,hands,,xray*,,,flying,,,whilst,recruit*,,,,,,,,,
need'nt,,,,,,,,,,saw,,,,,,,,,,,,mail,,,,encourag*,libert*,liabilit*,,,,everything*,,,,,,,,,sweets,,,,hangover*,,yawn*,,,follow,,,winter*,register*,,,,,,,,,
needn't,,,,,,,,,,see,,,,,,,,,,,,mailed,,,,enemie*,like,liar*,,,,evident*,,,,,,,,,tang,,,,head,,zit,,,followed,,,year ,registra*,,,,,,,,,
negat*,,,,,,,,,,seem,,,,,,,,,,,,mailer*,,,,enemy*,likeab*,lied,,,,exact*,,,,,,,,,tangy,,,,headache*,,zits,,,following,,,yearly,report*,,,,,,,,,
neither,,,,,,,,,,seemed,,,,,,,,,,,,mailing,,,,energ*,liked,lies,,,,examin*,,,,,,,,,tart,,,,heads,,zoloft,,,follows,,,years,requir*,,,,,,,,,
never,,,,,,,,,,seems,,,,,,,,,,,,mails,,,,engag*,likes,lone*,,,,except,,,,,,,,,tast*,,,,heal,,,,,followup*,,,yesterday*,research*,,,,,,,,,
nine*,,,,,,,,,,seen,,,,,,,,,,,,male,,,,enjoy*,liking,longing*,,,,exclu*,,,,,,,,,thick*,,,,healed,,,,,forever,,,yet,resource,,,,,,,,,
no,,,,,,,,,,sees,,,,,,,,,,,,males,,,,enrag*,livel*,lose,,,,expect*,,,,,,,,,thin,,,,healer*,,,,,former*,,,young*,resources,,,,,,,,,
nobod*,,,,,,,,,,sensed,,,,,,,,,,,,male's,,,,entertain*,LMAO,loser*,,,,experiment,,,,,,,,,thinn*,,,,healing,,,,,forward*,,,youth*,resourcing,,,,,,,,,
none,,,,,,,,,,sent,,,,,,,,,,,,mam,,,,enthus*,LOL,loses,,,,explain,,,,,,,,,thunder*,,,,heals,,,,,frequent,,,,responsib*,,,,,,,,,
nope,,,,,,,,,,shall,,,,,,,,,,,,man,,,,envie*,love,losing,,,,explained,,,,,,,,,tight*,,,,health*,,,,,frequented,,,,resume,,,,,,,,,
nor,,,,,,,,,,shant,,,,,,,,,,,,man's,,,,envious,loved,loss*,,,,explaining,,,,,,,,,tongue*,,,,heart,,,,,frequenting,,,,retire*,,,,,,,,,
not,,,,,,,,,,shan't,,,,,,,,,,,,marriag*,,,,envy*,lovely,lost,,,,explains,,,,,,,,,touch*,,,,heartburn*,,,,,frequently,,,,retiring,,,,,,,,,
nothing,,,,,,,,,,shared,,,,,,,,,,,,marrie*,,,,evil*,lover*,lous*,,,,explanat*,,,,,,,,,triang*,,,,hearts,,,,,frequents,,,,review*,,,,,,,,,
now,,,,,,,,,,she'd,,,,,,,,,,,,ma's,,,,excel*,loves,low*,,,,explicit*,,,,,,,,,unsavo*,,,,heel*,,,,,Friday*,,,,rhetor*,,,,,,,,,
nowhere,,,,,,,,,,she'll,,,,,,,,,,,,mate,,,,excit*,loving*,luckless*,,,,explor*,,,,,,,,,view,,,,helpings,,,,,front,,,,salar*,,,,,,,,,
of,,,,,,,,,,shes,,,,,,,,,,,,mates,,,,excruciat*,loyal*,ludicrous*,,,,extremely,,,,,,,,,viewer*,,,,hemor*,,,,,full*,,,,scholar,,,,,,,,,
off,,,,,,,,,,she's,,,,,,,,,,,,mate's,,,,exhaust*,luck,lying,,,,fact,,,,,,,,,viewing*,,,,herpes,,,,,further*,,,,scholaring,,,,,,,,,
often,,,,,,,,,,should,,,,,,,,,,,,mating,,,,fab,lucked,mad,,,,facts,,,,,,,,,views,,,,hiccup*,,,,,futur*,,,,scholarly,,,,,,,,,
on,,,,,,,,,,shouldnt,,,,,,,,,,,,meet,,,,fabulous*,lucki*,maddening,,,,factual*,,,,,,,,,vivid*,,,,hip,,,,,generation*,,,,scholars,,,,,,,,,
once,,,,,,,,,,should'nt,,,,,,,,,,,,meeting*,,,,fail*,lucks,madder,,,,fairly,,,,,,,,,voic*,,,,hips,,,,,giant*,,,,scholarship*,,,,,,,,,
one,,,,,,,,,,shouldn't,,,,,,,,,,,,meets,,,,faith*,lucky,maddest,,,,feel,,,,,,,,,waft*,,,,hiv,,,,,gigantic,,,,scholastic*,,,,,,,,,
ones ,,,,,,,,,,shouldve,,,,,,,,,,,,members,,,,fake,madly,maniac*,,,,feeling*,,,,,,,,,warm*,,,,ho,,,,,ginormous,,,,school*,,,,,,,,,
oneself,,,,,,,,,,should've,,,,,,,,,,,,men,,,,fantastic*,magnific*,masochis*,,,,feels,,,,,,,,,watch*,,,,homo,,,,,global*,,,,scien*,,,,,,,,,
only,,,,,,,,,,showed,,,,,,,,,,,,men'*,,,,fatal*,merit*,melanchol*,,,,felt,,,,,,,,,weight,,,,homos,,,,,go,,,,secretar*,,,,,,,,,
onto,,,,,,,,,,slept,,,,,,,,,,,,mention*,,,,fatigu*,merr*,mess,,,,fenc*,,,,,,,,,weighted,,,,homosexual*,,,,,goes,,,,sector*,,,,,,,,,
or,,,,,,,,,,sold,,,,,,,,,,,,messag*,,,,fault*,neat*,messy,,,,figur*,,,,,,,,,weighting,,,,hormone*,,,,,going,,,,semester*,,,,,,,,,
other,,,,,,,,,,spent,,,,,,,,,,,,met,,,,favor*,nice*,miser*,,,,find*,,,,,,,,,weightless*,,,,hornie*,,,,,gone,,,,senior*,,,,,,,,,
others,,,,,,,,,,spoke*,,,,,,,,,,,,mob,,,,favour*,nurtur*,miss,,,,forbid*,,,,,,,,,weightlift*,,,,horny,,,,,grew,,,,servic*,,,,,,,,,
otherwise,,,,,,,,,,start,,,,,,,,,,,,mobb*,,,,fear,ok,missed,,,,force*,,,,,,,,,weights,,,,hospital*,,,,,ground*,,,,session*,,,,,,,,,
ought,,,,,,,,,,started,,,,,,,,,,,,mobs,,,,feared,okay,misses,,,,forever,,,,,,,,,wet,,,,hug,,,,,grow,,,,sickday*,,,,,,,,,
oughta,,,,,,,,,,starts,,,,,,,,,,,,mom,,,,fearful*,okays,missing,,,,forgave,,,,,,,,,wetly,,,,hugg*,,,,,growing,,,,sickleave*,,,,,,,,,
oughtnt,,,,,,,,,,stayed,,,,,,,,,,,,momma*,,,,fearing,oks,mistak*,,,,forget*,,,,,,,,,whiff*,,,,hugs,,,,,grown,,,,sophom*,,,,,,,,,
ought'nt,,,,,,,,,,stood,,,,,,,,,,,,mommy*,,,,fearless*,openminded*,mock,,,,forgiv*,,,,,,,,,whisper*,,,,hump*,,,,,growth,,,,sororit*,,,,,,,,,
oughtn't,,,,,,,,,,stopped,,,,,,,,,,,,moms,,,,fears,openness,mocked,,,,forgot*,,,,,,,,,white*,,,,hunger*,,,,,hall,,,,staff*,,,,,,,,,
oughtve,,,,,,,,,,stuck,,,,,,,,,,,,mom's,,,,feroc*,opportun*,mocker*,,,,found,,,,,,,,,whitish*,,,,hungover,,,,,hang,,,,stapl*,,,,,,,,,
ought've,,,,,,,,,,studied,,,,,,,,,,,,mother,,,,festiv*,optimal*,mocking,,,,foundation*,,,,,,,,,yell,,,,hungr*,,,,,happening,,,,stipend*,,,,,,,,,
our,,,,,,,,,,suck,,,,,,,,,,,,motherly,,,,feud*,optimi*,mocks,,,,founded,,,,,,,,,yelled,,,,hyperten*,,,,,headed,,,,stock,,,,,,,,,
ours,,,,,,,,,,sucked,,,,,,,,,,,,mothers,,,,fiery,original,molest*,,,,founder*,,,,,,,,,yelling,,,,hypotherm*,,,,,heading,,,,stocked,,,,,,,,,
ourselves,,,,,,,,,,sucks,,,,,,,,,,,,mr ,,,,fiesta*,outgoing,mooch*,,,,frankly,,,,,,,,,yellow*,,,,ibuprofen,,,,,height*,,,,stocker,,,,,,,,,
out,,,,,,,,,,suffered,,,,,,,,,,,,mrs,,,,fight*,painl*,moodi*,,,,fundamental,,,,,,,,,yells,,,,ICU,,,,,high,,,,stocks,,,,,,,,,
outside,,,,,,,,,,support,,,,,,,,,,,,mum,,,,fine,palatabl*,moody,,,,fundamentalis*,,,,,,,,,yum*,,,,ill,,,,,highe*,,,,student*,,,,,,,,,
over,,,,,,,,,,supported,,,,,,,,,,,,mummy*,,,,fired,paradise,moron*,,,,fundamentally,,,,,,,,,,,,,illness*,,,,,hik*,,,,studied,,,,,,,,,
